developer,price,items_count,year
"Amidos,Big O,Bauer",Free To Play,2015-07-15,2012
2014-11-15,Free,2016-02-25,2011
2017-12-01,Free,2017-06-19,2017
Black Forest Games,Free To Play,2015-12-18,2017
2015-05-13,Free to Play,2014-10-28,2017
Shadow Blade Productions,Free,2016-10-19,2017
Class of  2016-2017,Free,2013-10-22,2017
"KOEI TECMO GAMES CO., LTD.",Free to Play,2015-05-20,2017
CodeBrush Games,Free to Play,2016-09-07,2014
Zombie Panic Team,Free,2017-03-10,2007
MuHa Games,Free,2017-08-03,2016
Gravity Interactive,Free to Play,2017-12-22,2003
Jason Godbey,Free,2011-05-06,2017
2015-09-02,Free,2016-07-22,2016
2017-08-01,Free,2016-04-08,2014
LUCKY GIRLS LIMITED,Free to Play,2014-10-21,2015
"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",Free,2016-04-11,2017
FX Games,Free to Play,2007-11-13,2017
"Nova Dimension,Game-Ready Studio",Free,2013-10-29,2017
TernGame,Free,2016-02-22,2015
Lokator Studio,Free,2014-10-20,2017
Shadow Tor Studios,Free To Play,2013-05-28,2016
1997-10-31,Free To Play,2013-09-20,2012
2017-08-15,Free To Play,2014-09-23,2009
TEAM101,Free to Play,2009-08-28,2015
"Emerson Design, Inc.",Free To Play,2016-03-25,2017
Crytek,Free To Play,2016-01-29,2017
Subvert Games,Free,2011-12-20,2017
Guru Games,Free,2017-12-19,2015
The Artistocrats,Free to Play,2015-09-03,2015
Reloaded Productions,Free to Play,2017-09-15,2011
Matt Roszak,Free to Play,2014-10-28,2010
Desert Owl Games LLC,Free To Play,2017-08-04,2017
Freakinware Studios,Free to Play,2016-12-08,2015
Synergy Team,Free,2017-11-24,2005
2011-08-12,Free,2012-12-21,2016
Rodrigo Banzato,Free To Play,2018-01-24,2016
Thunder Devs.,Free To Play,2013-09-25,2017
"Fabio Ferrara,Fabio Mosca,Giulia Airoldi",Free,2012-07-11,2016
"RocketSnail,SkyVu",Free to Play,2017-08-04,2017
2017-10-18,Free,2017-10-10,2017
Cole Kitroser,Free,2016-11-17,2017
4th cluster,Free To Play,2016-07-22,2017
Diminished Studios,Free to Play,2014-09-24,2015
EvilCoGames,Free,2015-02-27,2017
Onson Soft,Free to Play,2017-05-09,2008
TML-Studios,Free,2016-05-27,2017
2016-11-10,Free to Play,2017-04-19,2014
Helmet Games,Free To Play,2017-01-18,2013
Pixel Night,Free,2016-05-03,2017
"Callipygian Games, LLC",Free To Play,2014-10-24,2007
William Cheek,Free,2012-02-06,2017
The Game Creators,Free,2017-11-07,2017
LEVER Software,Free To Play,2016-09-15,2016
StormBrewers,Free,2017-09-29,2017
Auroch Digital,Free,1998-01-06,2017
Inane Games,Free to Play,2016-03-29,2016
Frudelsoft,Free,2016-03-02,2016
Fairytale Distillery,Free,2015-03-20,2017
NS STUDIO,Free,2016-09-07,2017
2016-11-29,Free To Play,2016-09-26,2017
YIMING ZHANG,Free To Play,2017-01-31,2017
Kiz Studios,Free To Play,2017-08-11,2016
Game Studio Abraham Stolk Inc.,Free,2014-03-20,2016
Cascade Game Foundry,Free To Play,2017-09-19,2016
Fabian Jarrett,Free,2017-10-25,2015
Revolution Software Ltd,Free,2016-04-26,1996
"Amidos,Big O",Free To Play,2017-09-26,2012
Retro Yeti Games,Free to Play,2012-07-13,2015
Pixel Federation,Free to Play,2015-10-12,2016
Deydrihm,Free,2009-02-18,2017
Scott Cawthon,Free,Q2 2018,2017
bycomb,Free,2015-04-07,2017
Disruptor Beam Inc.,Free To Play,2016-02-26,2016
Zetsubou,Free to Play,2014-03-27,2017
"Jonas Kjellberg,Ilsanjo",Free,2017-07-21,2017
InvertMouse,Free,2012-12-10,2015
2017-03-28,Free,2017-02-13,2007
Red Dwarf Games,Free to Play,2016-10-05,2012
MobileBits,Free,2017-11-30,2015
Big Fish Games,Free,2017-11-17,2016
Scary Bee LLC,Free,2015-11-06,2015
RDavis,Free,2012-05-31,1994
Monster Games,Free,2017-02-13,2016
IObit,Free,2013-11-21,2015
Bristol Street Studios,Free,2017-07-05,2017
2017-12-13,Free,2017-02-28,2013
Pipeworks Studio,Free to Play,2016-02-04,2016
Worthing &amp; Moncrieff,Free To Play,2016-09-10,2017
2017-05-11,Free,2015-02-20,2015
Digital Leisure Inc.,Free to Play,2015-02-03,2015
Hunted Cow Studios,Free to Play,2014-06-10,2014
Ninja Kiwi,Free to Play,2014-05-22,2016
2016-11-25,Free to Play,2014-04-15,2017
Extreme Developers,Free To Play,2017-10-13,2017
2016-09-14,Free,2013-06-26,2014
ExperaGameStudio,Free,2017-07-24,2017
Kyvos Studios,Free,2016-11-28,2017
2017-04-25,Free To Play,2016-12-20,2013
2016-10-27,Free To Play,2017-02-08,2015
SmoleVN,Free to Play,2012-11-19,2016
Monkeys Tales Studio,Free to Play,2014-08-04,2016
Exordium Games,Free,2017-09-19,2015
YETU GAME,Free,2017-04-12,2016
Pixeljam,Free To Play,2012-05-10,2017
"Arttu Tuovinen,Alan Bourhis,Michael Callaghan",Free to Play,2016-09-14,2017
Enigami,Free,2017-06-20,2017
"Tiny Colossus,Ciro Continisio",Free To Play,2017-02-10,2014
"Elcaelum,CGA Studio",Free To Play,2016-08-17,2016
2016-09-30,Free,2014-07-24,1999
2017-06-20,Free to Play,2014-09-10,2014
CAT IN JAR GAMES,Free to Play,2017-08-06,2015
Vitor Pêgas,Free,2016-11-15,2017
Dragom,Free,2017-09-28,2017
2016-10-25,Free,Coming Soon,2012
2013-11-21,Free To Play,2017-11-20,2017
2014-02-03,Free To Play,2016-02-29,2016
"Expansive Worlds,Avalanche Studios",Free to Play,2017-11-11,2014
Homewreckers Studio,Free to Play,2016-05-04,2017
Steve Antoniadis,Free To Play,2016-11-08,2017
SolarByte,Free to Play,2015-09-28,2017
AlternativaPlatform,Free To Play,2017-02-21,2017
2017-11-07,Free,2016-07-12,2015
Ubisoft Entertainment,Free to Play,2014-05-05,2017
Quiet River,Free,2017-09-26,2017
2015-01-07,Free,2016-05-25,2015
astragon Entertainment GmbH,Free,2014-02-18,2016
FarSight Studios,Free,2016-11-11,2013
SVRVIVE Studios,Free,2010-10-29,2016
Cosmic Cow LLC,Free to Play,2017-06-21,2014
AMPLITUDE Studios,Free,2015-12-22,2017
2017-10-11,Free,2017-07-20,2017
Cruderocks,Free To Play,2014-05-13,2016
studio wasp,Free To Play,2016-08-31,2015
G.rev Ltd.,Free,2016-05-31,2017
"Bitl,Cobalt-57",Free,2017-04-14,2015
"Travis Forkner,Will Nations,Hailee Ammons",Free To Play,2017-10-09,2017
YFC games,Free to Play,2016-02-17,2016
Lemonsucker Games,Free to Play,2014-09-15,2016
Wisefool Studio,Free,2017-07-19,2017
Antonio Renna,Free to Play,2008-12-11,2016
Clockwork Pixels,Free,2013-02-14,2016
2016-06-23,Free To Play,2016-08-16,2017
SplitmediaLabs,Free,2017-02-09,2012
Andrettin,Free to Play,2016-07-14,2015
Saibot Studios,Free,2011-07-29,2016
Milestone S.r.l.,Free,2015-12-15,2017
Project Atom,Free To Play,2017-12-13,2017
Spellbook,Free To Play,2016-03-01,2017
Light Bringer Games inc.,Free To Play,2016-02-29,2016
2017-10-05,Free To Play,2016-12-05,2012
2017-12-18,Free to Play,2014-02-21,2012
"2Chance Projects,IIchan Eroge Team",Free to Play,2015-01-26,2015
2016-04-08,Free,2016-06-16,2015
2015-12-11,Free,2017-04-25,2015
2016-07-07,Free To Play,2015-08-20,2012
"KOEI TECMO GAMES CO., LTD.",Free to Play,2014-05-29,2017
Buka Game Studio,Free to Play,2014-07-09,2016
Pinterac,Free To Play,2015-05-29,2016
2017-05-01,Free,2016-07-08,2015
2011-11-08,Free,2014-09-12,2014
BANDAI NAMCO Studios Inc.,Free,2017-10-17,2017
Byting Games,Free to Play,2017-02-06,2017
Pixeltales.ru,Free to Play,2017-08-08,2017
"Act 3 Games, LLC",Free To Play,2017-04-11,2017
FNGames,Free to Play,2013-03-21,2013
Zepetto Co.,Free to Play,2017-10-31,2015
2014-11-11,Free To Play,2014-11-26,2015
2006-08-18,Free,2015-01-27,2015
Funcom,Free to Play,2015-02-12,2013
2013-02-05,Free,2011-09-20,2017
Arcupion Art,Free To Play,2014-12-18,2017
"Chasing Carrots,Schnack Music Manufacture",Free,2015-11-05,2017
2016-09-15,Free To Play,2013-02-19,2016
2016-02-25,Free to Play,2016-12-07,2017
Soccer Manager Ltd,Free to Play,2016-02-11,2015
SmartHart Games,Free,2016-03-29,2016
"Vasily Voronkov,Ryan Joseph,Peter Kosyh",Free to Play,2016-11-22,2015
"Acram Digital,Mobo Studio",Free,2016-09-30,2017
2010-03-26,Free to Play,2016-10-13,2017
"KOEI TECMO GAMES CO., LTD.",Free to Play,2016-12-07,2017
Godot Engine,Free to Play,2014-06-27,2016
Section Studios,Free,2016-02-24,2015
2016-11-10,Free,2009-01-14,2015
Class of 2015-2016,Free,2016-05-26,2017
Jagex,Free to Play,2012-05-25,2016
2016-05-24,Free,2017-06-22,2014
2013-11-05,Free,2015-11-11,2013
2016-03-25,Free,2016-11-01,2014
Gestmorph Games,Free To Play,2015-05-26,2016
Ultrabit,Free to Play,2013-04-08,2017
2015-12-22,Free,2017-02-10,2017
Digital Eel,Free to Play,2017-07-31,2011
JoyBits Ltd.,Free to Play,2015-09-29,2017
Bethesda Game Studios,Free to Play,2017-11-22,2017
Vogelfänger,Free,2013-01-22,2017
Team Eleven Eleven,Free to Play,2015-09-03,2015
Michael Klaus Schmidt,Free,2017-07-21,2017
ForepawSoft,Free,2016-08-22,2014
"Bluehole, Inc.",Free to Play,2016-12-15,2015
Blind Sky Studios,Free,2016-11-16,2016
AMPLITUDE Studios,Free,2016-12-16,2017
Dragonfly,Free to Play,2017-07-04,2013
Splash Damage,Free to Play,2017-02-28,2011
Keinart Lobre,Free,2014-08-18,2016
Carbine Studios,Free to Play,2015-02-24,2014
2016-01-18,Free To Play,2012-11-09,2016
Atom Republic,Free to Play,2015-08-28,2017
2017-09-26,Free To Play,2017-11-14,2017
Borokai Studio,Free,2016-03-01,2017
Llama Software,Free,2017-03-15,2017
2015-07-24,Free To Play,2016-10-20,2017
nDreams,Free,2006-03-14,2016
Acute Games,Free To Play,2017-07-05,2017
Artyom Laletin,Free,2011-12-19,2017
"KOEI TECMO GAMES CO., LTD.",Free to Play,2015-07-07,2017
"KOEI TECMO GAMES CO., LTD.",Free,2011-02-18,2017
Studio Pixel,Free to Play,2014-07-31,2015
ESEA,Free to Play,2016-03-04,2016
Caliburn Studio,Free To Play,2014-09-17,2017
Kiz Studios,Free To Play,2015-01-09,2015
2015-05-22,Free To Play,1994-10-28,2015
2013-01-09,Free,2015-06-11,2011
Tuomo Laine,Free to Play,2016-03-03,2014
2017-01-26,Free,2009-10-29,2017
Derpy Dinos,Free To Play,2017-12-19,2017
Daybreak Game Company,Free to Play,2016-10-28,2011
2016-09-23,Free,2017-04-03,2017
2017-08-22,Free,2015-02-03,2007
Anton Shatalov,Free,2014-08-25,2017
2011-08-29,Free,2017-06-13,1989
No Moon,Free to Play,2014-06-19,2017
2017-01-10,Free,2016-05-03,2010
2016-01-29,Free,2015-12-15,2009
Free Range Games,Free to Play,2014-06-12,2016
Noble Master LLC,Free to Play,2016-10-05,2017
Koya Game,Free,2013-12-08,2016
IObit,Free,2015-06-08,2016
"Ludosity,Remar Games",Free to Play,2017-10-17,2014
Novel Tea Games,Free,2014-05-29,2016
Andrew Rodenhiser,Free To Play,2015-07-24,2017
Tomorrow Arts,Free to Play,2016-04-04,2016
2017-09-26,Free,2017-04-03,2016
2017-04-24,Free To Play,2015-12-10,2017
2015-12-02,Free,2015-01-06,2017
"Team NINJA,KOEI TECMO GAMES CO., LTD.",Free to Play,2017-12-21,2015
2017-03-30,Free To Play,2014-07-30,2017
2016-10-17,Free To Play,2018-01-04,2014
"Fabio Ferrara,Davide Caio,Nicolò Azzolini,Antonio Carcagnì,Luigi Di Guida,Tommaso Vita",Free,2017-06-06,2016
Xemory LLC,Free to Play,2017-06-21,2016
KorteGames,Free,2017-01-19,2016
2013-09-18,Free,2015-08-16,2015
Revolution Software Ltd,Free,2016-08-02,1997
Vertigo Games America,Free To Play,2017-08-31,2016
varlamov5264,Free to Play,2013-08-23,2016
The Dashing Crate,Free To Play,2015-05-19,2017
Crows Crows Crows,Free to Play,2016-03-24,2015
Silicon Jelly,Free to Play,2015-05-29,2016
Apus Software,Free To Play,2016-05-06,2016
Holotech Studios,Free,2017-07-16,2016
"Zykov Eddy,Xitilon",Free to Play,2014-12-16,2015
gtscom,Free To Play,2013-11-27,2017
Insurgency Development Team,Free,2014-06-12,2007
2017-08-24,Free,2017-08-31,2007
"Mario von Rickenbach,Etter Studio,Tale of Tales,Cardboard Computer,Pol Clarissou,Katie Rose Pipkin,Santa Ragione",Free,2017-04-03,2016
Noble Master LLC,Free to Play,2017-04-11,2016
Pewter Games Studios,Free,2015-07-02,2016
2018-01-03,Free,2015-05-04,2013
2017-08-24,Free to Play,2015-09-01,2017
"Maxwell Volz,David Zeiser",Free To Play,2017-10-26,2017
IPACS,Free To Play,2011-05-24,2017
2017-02-23,Free to Play,2013-05-01,2016
Shumkov Dmitriy,Free to Play,2016-02-23,2014
Piranha Games Inc.,Free to Play,2016-02-02,2015
Gravity Interactive,Free to Play,2017-08-02,2017
Marsbound,Free,2014-04-10,2016
Arrowiz,Free To Play,2016-03-08,2017
"KOEI TECMO GAMES CO., LTD.",Free to Play,2017-07-26,2017
2007-09-13,Free,2017-06-01,1981
Paradox Development Studio,Free,2017-09-07,2017
Chad Meffert,Free To Play,2015-10-23,2017
2013-10-29,Free,2011-12-12,2015
Team Nekojishi,Free To Play,2017-09-14,2017
"Sebastian Krzyszkowiak,Konrad Burandt,Paweł Radej",Free to Play,2017-01-04,2015
DOG HOGGLER,Free To Play,2016-10-04,2017
2017-05-15,Free,2008-03-01,2015
"MPR ART Hallucinations,David Szymanski",Free,2016-09-28,2016
Eren Aydın,Free to Play,2017-02-26,2016
"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",Free,2017-10-20,2016
2006-08-02,Free,2015-12-10,2017
"Trion Worlds, Inc.",Free to Play,2017-12-11,2014
Kingdom Games,Free,2017-06-15,2016
Santa Ragione,Free,2017-10-24,2016
D.C.S,Free To Play,2015-02-03,2016
ComonGames,Free,2016-06-14,2016
2017-02-08,Free,2017-03-14,2017
2016-03-18,Free,2017-06-30,2016
Artplant,Free to Play,2017-04-04,2016
ICE Entertainment,Free,2006-06-04,2015
IPACS,Free,2015-05-28,2017
Hohng LLC,Free,2017-11-07,2017
Netmarble Games,Free to Play,2010-10-06,2016
2015-02-17,Free,2016-04-16,2006
Initiative Games,Free,2016-07-29,2017
Springloaded,Free To Play,2015-10-31,2016
2016-06-02,Free,2016-02-19,2017
Lostwood,Free,2007-09-11,2016
NukGames,Free,2016-05-17,2016
2011-03-22,Free,2012-10-16,2014
NGD Studios,Free to Play,2015-03-09,2013
2012-05-25,Free,2015-05-29,2017
Myshkin Entertainment,Free,2017-12-12,2014
Toni Domínguez,Free,2016-09-29,2017
Fernando Cordoba,Free,1996-01-01,2016
Reakktor Studios,Free,2015-06-12,2016
Archaic Entertainment,Free,2017-09-04,2010
2014-09-04,Free To Play,2017-08-17,2015
Peoleo Entertainment,Free to Play,2006-02-07,2014
Blue Byte,Free to Play,2016-12-01,2010
"KUMA, LLC",Free To Play,2016-12-14,2017
BBit,Free To Play,2017-12-12,2017
"Ubisoft Quebec, in collaboration with Ubisoft Annecy, Bucharest, Kiev, Montreal, Montpellier, Shanghai, Singapore, Sofia, Toronto studios",Free to Play,2015-05-25,2015
Zeritum,Free to Play,2012-11-13,2015
SubJuegos,Free,2017-05-16,2017
CivilSavages,Free to Play,2012-11-19,2016
2017-07-31,Free To Play,2012-12-18,2015
Futuremark,Free to Play,2011-11-29,2015
Monster Games,Free,2017-12-28,2016
Fasold Games,Free,2017-02-14,2017
bad monkee,Free to Play,2017-09-12,2017
Monster Games,Free,2015-08-21,2017
STUDIO RADI-8,Free,2012-07-03,2014
Fury Software,Free,2012-10-16,2017
AMPLITUDE Studios,Free,2016-11-22,2015
Gearbox Software,Free to Play,2013-03-26,2016
Doctor Entertainment AB,Free to Play,2017-10-31,2015
RETREAM,Free,2017-05-02,2013
Sleepless Clinic,Free,2014-05-29,2017
Capcom,Free,2017-12-28,2016
Free Lives,Free,2012-03-26,2014
G.rev Ltd.,Free,2010-09-28,2017
Gamious,Free,2016-07-14,2016
Hexdragonal Games,Free to Play,2016-08-06,2015
"AN Productions,Poxpower",Free To Play,2013-11-05,2017
"RO2/RS Community,Tripwire Interactive",Free Mod,2017-08-15,2014
Alientrap,Free to Play,2016-08-12,2015
2017-01-31,Free,2017-09-15,2012
2015-07-10,Free,2017-10-19,2015
PLut,Free Mod,2016-08-02,2012
"owl.,Jonas Tintenseher,BáiYù,Andrewus,Atomic-Invasion,Butterfly Wisps,Noyemi Karlaitė,Mama J,Shida",Free,2010-10-07,2017
Carbon Studio,Free,2016-10-24,2016
xrrawva,Free,2012-03-02,2017
TTCX Inc.,Free To Play,2017-12-06,2016
Cryptic Studios,Free to Play,2012-09-24,2013
DreamEscape,Free,2015-11-24,2017
"Cygames, Inc.",Free To Play,2009-10-13,2016
Kosek.com,Free to Play,2015-01-20,2015
